"Data Source","World Development Indicators","","","","","","","","","",""

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017"
"Iceland","ISL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","7.856537","8.098885","7.336929","7.171207","6.948897","6.927969","6.607654","6.481147"
"Israel","ISR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","24.01924","23.90469","23.03885","22.94633","22.05915","22.77978","20.7657","21.3811"
"Italy","ITA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","19.02523","19.99427","18.10525","17.75772","17.76927","17.89145","16.49037","16.75071"
"Jamaica","JAM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","16.09171","16.5425","15.46047","14.9314","14.07433","14.17666","13.39596","13.40415"
"Jordan","JOR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","33.55057","33.01726","33.01694","33.41761","33.20542","34.30545","33.17662","33.00608"
"Japan","JPN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","14.14234","14.14103","13.12887","13.36256","12.58662","12.68746","11.62392","11.70478"
"Kazakhstan","KAZ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","15.91449","15.24384","14.48104","14.59856","13.74975","14.3848","13.08444","13.82429"
"Kenya","KEN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","28.15477","28.66288","29.37228","28.93535","28.94935","28.53628","28.58338","28.57837"
"Kyrgyz Republic","KGZ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.26539","27.5176","25.48983","25.44036","23.29819","24.34474","23.19556","22.73777"
"Cambodia","KHM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","31.34314","30.91962","31.28373","30.33653","28.58337","26.76924","25.20287","25.61429"
"Kiribati","KIR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","13.17504","13.35815","12.59423","12.3253","11.39374","11.51432","10.53784","10.64086"
"St. Kitts and Nevis","KNA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Korea, Rep.","KOR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","29.80201","29.68119","27.91595","29.46192","27.21311","28.21424","25.09854","25.03943"
